nome_limpo;estado
12 Horas;rio-grande-do-sul
1° de Maio;pernambuco
4 de Julho;piaui
7 de Abril;rio-de-janeiro
Sete de Setembro;mato-grosso-do-sul
AA Araguaia;mato-grosso
AA Orleans;santa-catarina
ABC;rio-grande-do-norte
ABD FC;goias
ABECAT Ouvidorense;goias
AD Carmópolis;sergipe
ADEC;amapa
ADESG;acre
AE Paracatu;minas-gerais
APAFUT;rio-grande-do-sul
ARUC;distrito-federal
ASA;alagoas
ASEEV;goias
ASSU;rio-grande-do-norte
Academia-MT;mato-grosso
Afogados;pernambuco
Afogados da Ingazeira;pernambuco
Agrimaq Jequiaense;alagoas
Agua Santa;sao paulo
Aguia de Maraba;para
Aimoré;rio-grande-do-sul
Alecrim;rio-grande-do-norte
Aliança-CE;ceara
Altamira;para
Altos;piaui
Alvorada;amazonas
Alvorada-TO;tocantins
Amadense;sergipe
Amazonas;amazonas
Amazonas FC;amazonas
Amazônia Independente;para
America-RJ;rio-de-janeiro
Americano;rio-de-janeiro
Americano-MA;maranhao
Amparo;sao-paulo
América;rio grande do norte
América F.c.;rio grande do norte
América Mineiro;minas-gerais
América T.O.;minas-gerais
América de Pedrinhas;sergipe
América-GO;goias
América-PE;pernambuco
América-RN;rio-grande-do-norte
América-SE;sergipe
América-SP;sao-paulo
Anapolina;goias
Andirá-AC;acre
Andradina EC;sao-paulo
Andraus;parana
Angra dos Reis;rio-de-janeiro
Anjos do Céu;ceara
Anápolis;goias
Aparecida EC;goias
Aparecidense;goias
Apucarana Sports;parana
Aquidauanense;mato-grosso-do-sul
Aracaju;sergipe
Araguacema;tocantins
Araguaia de Palmas;tocantins
Araguari;minas-gerais
Araguaína;tocantins
Araioses;maranhao
Arapongas;parana
Araruama;rio-de-janeiro
Araucária EC;parana
Araxá;minas-gerais
Araçatuba;sao-paulo
Arraial do Cabo;rio-de-janeiro
Arsenal Caridade;ceara
Arsenal-TO;tocantins
Aruko;parana
Assisense;sao-paulo
Aster Brasil;espirito-santo
At. Itapemirim;espirito-santo
Athletic;minas gerais
Athletic Club;minas gerais
Athletic-MG;minas-gerais
Athletico Paranaense;parana
Athletico Paranaense B;parana
Atibaia;sao-paulo
Atl. Três Corações;minas-gerais
Atlhetic Ce;minas gerais
Atlético;bahia
Atlético Amazonense;amazonas
Atlético Bacabal;maranhao
Atlético Batistense;santa-catarina
Atlético Carioca;rio-de-janeiro
Atlético Catarinense;santa-catarina
Atlético Cearense;ceara
Atlético Central;sergipe
Atlético Cerrado;tocantins
Atlético Gloriense;sergipe
Atlético Goianiense;goias
Atlético Itajaí;santa-catarina
Atlético Mineiro;minas-gerais
Atlético Mogi;sao-paulo
Atlético Paraense;para
Atlético Patrocinense;minas gerais
Atlético Pernambucano;pernambuco
Atlético Piauiense;piaui
Atlético Roraima;roraima
Atlético Tubarão;santa-catarina
Atlético de Cajazeiras;paraiba
Atlético-AC;acre
Atlético-BA;bahia
Atlético-MT;mato-grosso
Atlético-PB;paraiba
Atlético-RS;rio-grande-do-sul
Audax Rio;rio-de-janeiro
Auto Esporte;paraiba
Avaí;santa-catarina
Avaí B;santa-catarina
Avenida;rio-grande-do-sul
Aymorés;minas-gerais
Azuriz;parana
Azuriz Futebol;parana
Ação;mato-grosso
Bacabal;maranhao
Bagé;rio-grande-do-sul
Bahia;bahia
Bahia de Feira;bahia
Bandeirante;sao-paulo
Bangu;rio-de-janeiro
Baraúnas;rio-grande-do-norte
Barbalha;ceara
Barcelona;rondonia
Barcelona Esportivo;sao-paulo
Barcelona de Ilhéus;bahia
Barcelona-RJ;rio-de-janeiro
Barcelona-RO;rondonia
Bare;amapa
Barra;santa catarina
Barra Mansa;rio-de-janeiro
Barra da Tijuca;rio-de-janeiro
Barra-SC;santa-catarina
Barra-SE;sergipe
Barreiros;pernambuco
Barretos;sao-paulo
Baré;roraima
Bataguassu;mato-grosso-do-sul
Batalhão;tocantins
Batatais;sao-paulo
Batel;parana
Bela Vista;rio-de-janeiro
Bela Vista FC;goias
Bela Vista-TO;tocantins
Belenense FC;para
Belford Roxo;rio-de-janeiro
Belo Jardim;pernambuco
Betim Futebol;minas-gerais
Betis FC;minas-gerais
Blumenau;santa-catarina
Boa;minas gerais
Boa Esporte;minas-gerais
Boavista;rio de janeiro
Boavista-RJ;rio-de-janeiro
Boca Júnior-SE;sergipe
Bolamense;distrito-federal
Bom Jesus EC;goias
Bonsucesso;rio-de-janeiro
Boquinhense;sergipe
Boston City Brasil;minas-gerais
Botafogo;rio-de-janeiro
Botafogo Pb;paraiba
Botafogo-BA;bahia
Botafogo-DF;distrito-federal
Botafogo-PB;paraiba
Botafogo-SE;sergipe
Botafogo-SP;sao-paulo
Bragantino;para
Bragantino-PA;para
Brasil;rio grande do sul
Brasil de Farroupilha;rio-grande-do-sul
Brasileirinho;rio-de-janeiro
Brasiliense;distrito-federal
Brasilis;sao-paulo
Brasília;distrito-federal
Brazlândia;distrito-federal
Brusque;santa-catarina
Bréscia;rio-de-janeiro
Búzios;rio-de-janeiro
CA Patrocinense;minas-gerais
CA Votuporanguense;sao-paulo
CAAC Brasil FC;rio-de-janeiro
CAP de Uberlândia;minas-gerais
CDC da Amazônia;amazonas
CEO;alagoas
CEOV Operário;mato-grosso
CR Aquidauana;mato-grosso-do-sul
CRAC;goias
CRB;alagoas
CRB B;alagoas
CSA;alagoas
CSA B;alagoas
CSE;alagoas
CSP;paraiba
CTE Colatina;espirito-santo
Cabense;pernambuco
Cabofriense;rio-de-janeiro
Cacerense;mato-grosso
Caeté;para
Caiçara;piaui
Caldense;minas-gerais
Calouros do Ar;ceara
Camaçari;bahia
Camaçariense;bahia
Camboriu;santa catarina
Camboriú;santa-catarina
Cambé;parana
Cametá;para
Campinense;paraiba
Campo Grande-CE;ceara
Campo Grande-RJ;rio-de-janeiro
Campo Mourão;parana
Campo Novo FC;mato-grosso
Campos;rio-de-janeiro
Canaã;bahia
Canaã FC;para
Candango EC;distrito-federal
Canindé;sergipe
Canoinhas;santa-catarina
Canário;amapa
Capital;tocantins
Capital CF;distrito-federal
Capital Fc;tocantins
Capitão Poço;para
Capivariano;sao-paulo
Capixaba;espirito-santo
Carajás;para
Carapebus;rio-de-janeiro
Caravaggio;santa-catarina
Cariri FC;ceara
Carlos Renaux;santa-catarina
Caruaru City;pernambuco
Cascavel;parana
Casimiro de Abreu;rio-de-janeiro
Castanhal;para
Castelo;espirito-santo
Catanduva;sao-paulo
Caucaia;ceara
Caxias;rio-grande-do-sul
Caçador;santa-catarina
Ceart;mato-grosso-do-sul
Ceará;ceara
Ceará B;ceara
Ceilandense;distrito-federal
Ceilândia;distrito-federal
Central;pernambuco
Central Paraíso;tocantins
Centro Limoeirense;pernambuco
Centro Oeste FC;goias
Ceov Operário;mato grosso
Ceres;rio-de-janeiro
Cerrado EC;goias
Chapadinha;maranhao
Chapecoense;santa-catarina
Chapecoense B;santa-catarina
Chã Grande;pernambuco
Cianorte;parana
City London FC;parana
Cliper;amazonas
Clube 1992;rio-grande-do-sul
Coimbra-MG;minas-gerais
Coimbra-MG B;minas-gerais
Colinas;tocantins
Colo Colo-BA;bahia
Colorado Caieiras;sao-paulo
Comercial;sao-paulo
Comercial de Três Lagoas;mato-grosso-do-sul
Comercial-MS;mato-grosso-do-sul
Comercial-PI;piaui
Concordia Atlético Clube;santa catarina
Concórdia;santa-catarina
Confiança;sergipe
Confiança-PB;paraiba
Contagem;minas-gerais
Cordino;maranhao
Corinthians;sao-paulo
Corisabbá;piaui
Coritiba;parana
Coritiba B;parana
Coritiba-SE;sergipe
Corumbaense;mato-grosso-do-sul
Coruripe;alagoas
Costa Rica;mato grosso do sul
Costa Rica EC;mato-grosso-do-sul
Cotinguiba;sergipe
Coxim;mato-grosso-do-sul
Crac;goias
Crateús;ceara
Crato;ceara
Criciúma;santa-catarina
Criciúma B;santa-catarina
Cristal;amapa
Crixás;goias
Cruzeiro;minas-gerais
Cruzeiro-AL;alagoas
Cruzeiro-AP;amapa
Cruzeiro-DF;distrito-federal
Cruzeiro-PB;paraiba
Cruzeiro-RS;rio-grande-do-sul
Cuiabá;mato-grosso
Cuiabá B;mato-grosso
Cáceres;mato-grosso
Decisão;pernambuco
Democrata;minas gerais
Democrata-GV;minas-gerais
Democrata-SL;minas-gerais
Desportiva Aracaju;sergipe
Desportiva Ferroviária;espirito-santo
Desportiva Guarabira;paraiba
Desportivo Aliança;alagoas
Desportivo Brasil;sao-paulo
Dimensão Saúde;alagoas
Doce Mel;bahia
Dom Bosco;mato-grosso
Dorense;sergipe
Dourados;mato grosso do sul
Dourados AC;mato-grosso-do-sul
Duque Caxiense;rio-de-janeiro
Duque de Caxias;rio-de-janeiro
Dínamo EC;alagoas
EC Novo Horizonte;rio-grande-do-sul
EC Resende;rio-de-janeiro
EC São Bernardo;sao-paulo
EC São Gabriel;rio-grande-do-sul
EC Tupy;espirito-santo
EC Vera Cruz-RJ;rio-de-janeiro
EC Água Santa;sao-paulo
ECUS;sao-paulo
ESMAC;para
Ec Democrata;minas gerais
Elite CD;rio-grande-do-sul
Elosport Capão Bonito;sao-paulo
Esporte;paraiba
Esporte Limoeiro;ceara
Esportivo;rio-grande-do-sul
Essube;minas-gerais
Estanciano;sergipe
Estrela do Norte;espirito-santo
Expressinho;maranhao
FC Cascavel;parana
FC Pantanal;mato-grosso-do-sul
FC Rio de Janeiro;rio-de-janeiro
FC Riograndense;rio-grande-do-sul
FEMAR;paraiba
FF Sport;alagoas
Falcon;sergipe
Falcon FC;sergipe
Farroupilha;rio-grande-do-sul
Fast Clube;amazonas
Feirense;bahia
Fernandópolis;sao-paulo
Ferroviaria;sao paulo
Ferroviária;sao-paulo
Ferroviário;ceara
Ferroviário do Cabo;pernambuco
Ferroviário-PI;piaui
Figueirense;santa-catarina
Figueirense-MG;minas-gerais
Flamengo;rio-de-janeiro
Flamengo de Guanambi;bahia
Flamengo-PE;pernambuco
Flamengo-PI;piaui
Flamengo-SE;sergipe
Flamengo-SP;sao-paulo
Floresta;ceara
Floresta-CE;ceara
Fluminense;rio-de-janeiro
Fluminense de Feira;bahia
Fluminense de Joinville;santa-catarina
Fluminense-PI;piaui
Fonte Nova;para
Formosa;distrito-federal
Fortaleza;ceara
Fortaleza B;ceara
Forte FC;espirito-santo
Força Jovem Aquidabã;sergipe
Força e Luz-RN;rio-grande-do-norte
Foz do Iguaçu;parana
Francana;sao-paulo
Frei Paulistano;sergipe
Friburguense;rio-de-janeiro
Futebol Com Vida;rio-grande-do-sul
G.A.S.;roraima
GAS;roraima
GE Brasil;rio-grande-do-sul
GEL;espirito-santo
Galo Maringá;parana
Galvez;acre
Galvez EC;acre
Galícia;bahia
Gama;distrito-federal
Garibaldi;rio-grande-do-sul
Gavião Kyikatejê;para
Gazin Porto Velho;rondonia
Gazin Porto Velho EC;rondonia
Gaúcho;rio-grande-do-sul
Genus;rondonia
Globo;rio grande do norte
Globo FC;rio-grande-do-norte
Gloria;rio grande do sul
Glória;rio-grande-do-sul
Goianesia;goias
Goiania;goias
Goianésia;goias
Goiatuba;goias
Goiatuba EC;goias
Goiás;goias
Goiânia;goias
Gonçalense;rio-de-janeiro
Goytacaz;rio-de-janeiro
Gramadense;rio-grande-do-sul
Grapiúna;bahia
Grecal;parana
Gremio Anapolis;goias
Gremio Novorizontino;sao paulo
Grêmio;rio-grande-do-sul
Grêmio Anápolis;goias
Grêmio B;rio-grande-do-sul
Grêmio Carajás;para
Grêmio Maringá;parana
Grêmio Mauaense;sao-paulo
Grêmio Novorizontino;sao-paulo
Grêmio Osasco;sao-paulo
Grêmio Pague Menos;ceara
Grêmio Prudente;sao-paulo
Grêmio S23;rio-grande-do-sul
Grêmio São-Carlense;sao-paulo
Grêmio Valparaíso;distrito-federal
Guajará;rondonia
Guanabara City;goias
Guaporé;rondonia
Guarani;sao-paulo
Guarani V. Aires;rio-grande-do-sul
Guarani de Juazeiro;ceara
Guarani-MG;minas-gerais
Guarani-SC;santa-catarina
Guarany;ceara
Guarany de Bagé;rio-grande-do-sul
Guarany de Sobral;ceara
Guarany-AL;alagoas
Guarany-SE;sergipe
Guaraí;tocantins
Guarulhos;sao-paulo
Gurupi;tocantins
Gálatas EC;espirito-santo
Hercilio Luz;santa catarina
Hercílio Luz;santa-catarina
Hope Internacional;parana
Horizonte;ceara
Humaitá;acre
IAPE;maranhao
ITZ Sport;maranhao
Icasa;ceara
Igaci;alagoas
Igrejinha;rio-grande-do-sul
Iguatu;ceara
Iguaçu;parana
Imbituba;santa-catarina
Imperatriz;maranhao
Império Serrano;rio-de-janeiro
Independente;para
Independente Tucuruí;para
Independente de Limeira;sao-paulo
Independente de Rio Verde;goias
Independente-AP;amapa
Independente-RJ;rio-de-janeiro
Independente-SE;sergipe
Independência;acre
Independência-AC;acre
Inhumas;goias
Inter SM;rio-grande-do-sul
Inter São Gotardo;minas-gerais
Inter de Bebedouro;sao-paulo
Inter de Lages;santa-catarina
Inter de Limeira;sao-paulo
Inter de Minas;minas-gerais
Internacional;rio-grande-do-sul
Internacional B;rio-grande-do-sul
Internacional-PB;paraiba
Interporto;tocantins
Ipatinga;minas-gerais
Ipojuca;pernambuco
Ipora;goias
Iporá;goias
Iranduba;amazonas
Iraty;parana
Itabaiana;sergipe
Itaberaí;goias
Itabirito;minas gerais
Itabirito FC;minas-gerais
Itaboraí Profute;rio-de-janeiro
Itabuna;bahia
Itacoatiara FC;amazonas
Itapipoca;ceara
Itapirense;sao-paulo
Itararé;sao-paulo
Itarema-CE;ceara
Ituano;sao-paulo
Itumbiara;goias
Itupiranga;para
Ivinhema;mato-grosso-do-sul
Izabelense;para
JC Futebol Clube;amazonas
Jabaquara;sao-paulo
Jaciobá;alagoas
Jacobina;bahia
Jacobinense;bahia
Jacuipense;bahia
Jaguar;pernambuco
Jaguaré;espirito-santo
Jaraguá;goias
Jataiense;goias
Jequié;bahia
Ji-Paraná;rondonia
Ji-paraná;rondonia
Joinville;santa-catarina
Joseense;sao-paulo
Juara;mato-grosso
Juazeirense;bahia
Juazeiro;bahia
Juventude;rio-grande-do-sul
Juventude B;rio-grande-do-sul
Juventude-MA;maranhao
Juventus;santa catarina
Juventus Jaraguá;santa-catarina
Juventus de Minas Novas;minas-gerais
Juventus-RJ;rio-de-janeiro
Juventus-SP;sao-paulo
Lagarto;sergipe
Lagarto F.c.;sergipe
Lagarto-SE;sergipe
Lago Verde;maranhao
Lagoa;amapa
Laguna;rio-grande-do-norte
Lajeadense;rio-grande-do-sul
Laranja Mecânica;parana
Latitude Zero;amapa
Legião;distrito-federal
Lemense;sao-paulo
Leão do Vale - Cianorte;parana
Leônico;bahia
Librade;amazonas
Linense;sao-paulo
Linhares FC;espirito-santo
Londrina;parana
Luminense;maranhao
Luverdense;mato-grosso
Luziânia;distrito-federal
Macapá;amapa
Macaé;rio-de-janeiro
Madureira;rio-de-janeiro
Mageense;rio-de-janeiro
Maguary-PE;pernambuco
Mamoré;minas-gerais
Manauara;amazonas
Manauara EC;amazonas
Manaus;amazonas
Manaus FC;amazonas
Manchester Futebol;minas-gerais
Manthiqueira;sao-paulo
Maracaju;mato-grosso-do-sul
Maracana;ceara
Maracanã;ceara
Marajó;para
Maranguape;ceara
Maranhão;maranhao
Marau;rio-grande-do-sul
Marcílio Dias;santa-catarina
Marica;rio de janeiro
Maricá;rio-de-janeiro
Maringa;parana
Maringá;parana
Maruinense;sergipe
Marília;sao-paulo
Matonense;sao-paulo
Mauá;sao-paulo
Mazagão;amapa
Mesquita;rio-de-janeiro
Metropolitano;santa-catarina
Miguelense;alagoas
Mineiros;goias
Miramar;paraiba
Miranorte;tocantins
Mirassol;sao-paulo
Misto;mato-grosso-do-sul
Mixto;mato-grosso
Mogi Mirim;sao-paulo
Monsoon;rio-grande-do-sul
Monte Azul;sao-paulo
Monte Cristo;goias
Monte Roraima;roraima
Moreninhas;mato-grosso-do-sul
Morrinhos;goias
Mossoró;rio-grande-do-norte
Moto Club;maranhao
Murici;alagoas
Mutum;mato grosso
Nacional;amazonas
Nacional Atl. Muriaé;minas-gerais
Nacional Uberaba;minas-gerais
Nacional-AM;amazonas
Nacional-PB;paraiba
Nacional-PR;parana
Nacional-SP;sao-paulo
Nautico;roraima
Navegantes;santa-catarina
Naviraiense;mato-grosso-do-sul
Nação;santa-catarina
Niteroiense;rio-de-janeiro
Noroeste;sao-paulo
North Esporte Clube;minas-gerais
Nova Andradina;mato-grosso-do-sul
Nova Cidade;rio-de-janeiro
Nova Conquista;tocantins
Nova Iguaçu;rio-de-janeiro
Nova Mutum;mato-grosso
Nova Prata;rio-grande-do-sul
Nova Venecia;espirito santo
Nova Venecia;espirito santo
Nova Venécia FC;espirito-santo
Novo Esporte;minas-gerais
Novo Hamburgo;rio-grande-do-sul
Novoperário;mato-grosso-do-sul
Novorizontino;sao paulo
Náuas;acre
Náutico;pernambuco
Náutico-MS;mato-grosso-do-sul
Náutico-RR;roraima
Oeirense;piaui
Oeste;sao-paulo
Oeste Brasil;parana
Olaria;rio-de-janeiro
Olímpia;sao-paulo
Olímpico;sergipe
Operário;mato grosso
Operário AC;mato-grosso-do-sul
Operário Ceov;mato grosso
Operário Ferroviário;parana
Operário-AM;amazonas
Operário-MS;mato-grosso-do-sul
Operário-MT;mato-grosso
Oratório;amapa
Osasco Audax;sao-paulo
Osasco FC;sao-paulo
Osvaldo Cruz;sao-paulo
PRS FC;rio-grande-do-sul
PSTC;parana
Pacajus;ceara
Pacatuba;ceara
Paduano;rio-de-janeiro
Palmas;tocantins
Palmeira de Goianinha;rio-grande-do-norte
Palmeiras;sao-paulo
Paraense SC;para
Paragominas;para
Paranavaí;parana
Paranoá;distrito-federal
Paraná;parana
Paraty-RJ;rio-de-janeiro
Parauapebas;para
Paraíba do Sul FC;rio-de-janeiro
Paraíso;tocantins
Parintins FC;amazonas
Parnahyba;piaui
Parnamirim SC;rio-grande-do-norte
Passo Fundo;rio-grande-do-sul
Passos;minas-gerais
Patriotas-PR;parana
Paulista;sao-paulo
Paulistano-MT;mato-grosso
Paysandu;para
Pedra Branca;santa-catarina
Pedreira-PA;para
Pelotas;rio-grande-do-sul
Penapolense;sao-paulo
Penarol;amazonas
Penarol-AM;amazonas
Penedense;alagoas
Perilima;paraiba
Pesqueira;pernambuco
Petrolina;pernambuco
Petrópolis;rio-de-janeiro
Piauí;piaui
Picos;piaui
Picuiense;paraiba
Pimentense;rondonia
Pinheirense;para
Pinheiro-MA;maranhao
Pinheiros-ES;espirito-santo
Pirapora;minas-gerais
Pires do Rio;goias
Planaltina;distrito-federal
Plácido de Castro;acre
Poconé;mato-grosso
Pombal EC;paraiba
Pontaporanense;mato-grosso-do-sul
Ponte Preta;sao-paulo
Portela;bahia
Porto Velho;rondonia
Porto Velho Esporte Clube;rondonia
Porto Vitória;espirito-santo
Porto-BA;bahia
Porto-PE;pernambuco
Porto-SC;santa-catarina
Portuguesa;sao-paulo
Portuguesa Londrinense;parana
Portuguesa Santista;sao-paulo
Portuguesa-AP;amapa
Portuguesa-MS;mato-grosso-do-sul
Portuguesa-RJ;rio-de-janeiro
Potengi;rio-grande-do-norte
Potiguar;rio-grande-do-norte
Potyguar Seridoense;rio-grande-do-norte
Pouso Alegre;minas-gerais
Poços de Caldas;minas-gerais
Primavera;sao-paulo
Primavera AC;mato-grosso
Princesa;amazonas
Princesa do Solimões;amazonas
Progresso-RR;roraima
Propriá;sergipe
Prudentópolis;parana
Próspera;santa-catarina
Pérolas Negras;rio-de-janeiro
QFC;rio-grande-do-norte
Queimadense;paraiba
Queimados;rio-de-janeiro
Quixadá;ceara
RB do Norte;amazonas
Real Ariquemes;rondonia
Real Brasília;distrito-federal
Real Noroeste;espirito-santo
Real Sport Club;rio-grande-do-sul
Real-RR;roraima
Red Bull Bragantino;sao-paulo
Red Bull Bragantino II;sao-paulo
Red Bull Brasil;sao-paulo
Remo;para
Renovação;amapa
Resende;rio-de-janeiro
Retrô;pernambuco
Retrô FC;pernambuco
Riacho City;distrito-federal
Riachuelo-RN;rio-grande-do-norte
Riachão;sergipe
Rio Branco;espirito santo
Rio Branco - VN;espirito santo
Rio Branco A. C.;espirito santo
Rio Branco Sport Club;parana
Rio Branco de Venda Nova;espirito-santo
Rio Branco-AC;acre
Rio Branco-ES;espirito-santo
Rio Branco-PR;parana
Rio Branco-SP;sao-paulo
Rio Claro;sao-paulo
Rio Grande;rio-grande-do-sul
Rio Grande-RN;rio-grande-do-norte
Rio Negro-AM;amazonas
Rio Negro-RR;roraima
Rio Preto;sao-paulo
Rio São Paulo;rio-de-janeiro
Rio Verde-GO;goias
Riopardense-RS;rio-grande-do-sul
Riostrense;rio-de-janeiro
Rioverdense;goias
River-PI;piaui
River-RR;roraima
Rolim de Moura;rondonia
Rolândia;parana
Rondoniense;rondonia
Rondonópolis;mato-grosso
Royal FC;goias
Ríver;piaui
SC Humaitá;acre
SC Jaraguá;santa-catarina
SC Parnamirim;rio-grande-do-norte
SE Balsas FC;maranhao
SE Patrocinense;minas-gerais
SER Cruz Alta;rio-grande-do-sul
SERC;mato-grosso-do-sul
SESP Samambaense;distrito-federal
SSA FC;bahia
Sabiá;maranhao
Sabugy;paraiba
Salgueiro;pernambuco
Samambaia;distrito-federal
Sampaio;roraima
Sampaio Corrêa;maranhao
Sampaio Corrêa-RJ;rio-de-janeiro
Santa Catarina;santa-catarina
Santa Cruz;pernambuco
Santa Cruz Riachuelo;sergipe
Santa Cruz de Natal;rio-grande-do-norte
Santa Cruz-AC;acre
Santa Cruz-MT;mato-grosso
Santa Cruz-RJ;rio-de-janeiro
Santa Cruz-RS;rio-grande-do-sul
Santa Fé-PE;pernambuco
Santa Helena;goias
Santa Maria-DF;distrito-federal
Santa Rosa;para
Santacruzense;sao-paulo
Santana;amapa
Santarritense;minas-gerais
Santo André;sao-paulo
Santo Ângelo;rio-grande-do-sul
Santos;sao-paulo
Santos-AP;amapa
Santos-PA;para
Sao Bernardo;sao paulo
Sao Francisco;acre
Sapucaiense;rio-grande-do-sul
Sergipe;sergipe
Serra;espirito-santo
Serra Branca-PB;paraiba
Serra F.c.;espirito santo
Serra Macaense;rio-de-janeiro
Serranense;minas-gerais
Serrano-PB;paraiba
Serrano-PE;pernambuco
Serrano-RJ;rio-de-janeiro
Sertãozinho;sao-paulo
Sete FC;amazonas
Sete de Junho;sergipe
Sete de Setembro-PE;pernambuco
Sinop;mato-grosso
Ska Brasil;sao-paulo
Sobradinho;distrito-federal
Social;minas-gerais
Socorrense;sergipe
Socorro;sergipe
Sorriso FC;mato-grosso
Sousa;paraiba
Sparta-TO;tocantins
Spartax;paraiba
Sport;pernambuco
Sport Atibaia;sao-paulo
Sport Belém;para
Sport Capixaba;espirito-santo
Sport Lagoa Seca;paraiba
Sport Sinop;mato-grosso
Sporting Maracanã;para
Sul América;amazonas
São Bento;sao-paulo
São Bernardo;sao-paulo
São Borja;rio-grande-do-sul
São Caetano;sao-paulo
São Carlos;sao-paulo
São Cristóvão;rio-de-janeiro
São Domingos-AL;alagoas
São Francisco FC;acre
São Francisco-PA;para
São Gabriel-MS;mato-grosso-do-sul
São Gonçalo EC;rio-de-janeiro
São Jose;sao paulo
São Joseense;parana
São José;sao-paulo
São José de Itaperuna;rio-de-janeiro
São José-AP;amapa
São José-MA;maranhao
São José-RS;rio-grande-do-sul
São José-TO;tocantins
São Luiz;rio-grande-do-sul
São Luís FC;maranhao
São Mateus;espirito-santo
São Paulo;sao-paulo
São Paulo Crystal;paraiba
São Paulo-AP;amapa
São Paulo-RS;rio-grande-do-sul
São Raimundo;roraima
São Raimundo-AM;amazonas
São Raimundo-PA;para
São Raimundo-RR;roraima
Sãojoseense;parana
Taguatinga;distrito-federal
Tanabi;sao-paulo
Tapajós;para
Taquaritinga;sao-paulo
Taquarussú;tocantins
Tarumã;amazonas
Taubaté;sao-paulo
Taveirópolis;mato-grosso-do-sul
Teixeira de Freitas;bahia
Teresina EC;piaui
Terra e Mar;ceara
Tesla;para
Tianguá;ceara
Tigres do Brasil;rio-de-janeiro
Timbaúba;pernambuco
Timon;maranhao
Timon-PI;piaui
Tiradentes-CE;ceara
Tiradentes-PA;para
Tiradentes-PI;piaui
Tirol;ceara
Tocantins Miracema;tocantins
Tocantinópolis;tocantins
Toledo;parana
Tombense;minas-gerais
Torres Brasil;pernambuco
Trem;amapa
Treze;paraiba
Trindade;goias
Três Lagoas-MS;mato-grosso-do-sul
Três Passos;rio-grande-do-sul
Tubarão;santa catarina
Tuna Luso;para
Tuntum;maranhao
Tupan;maranhao
Tupi;minas-gerais
Tupy-GO;goias
Tupynambas;minas gerais
Tupynambás;minas-gerais
Tupã;sao-paulo
UNIRB;bahia
URT;minas-gerais
Uberaba;minas-gerais
Uberlândia;minas-gerais
Unaí EC;distrito-federal
Uni Souza;rio-de-janeiro
Univap Apodi;rio-grande-do-norte
Univassouras Artsul;rio-de-janeiro
União Atlética Araguainense;tocantins
União Atlético;tocantins
União Atlético Clube;tocantins
União Barbarense;sao-paulo
União Beltrão;parana
União Cacoalense;rondonia
União Central;rio-de-janeiro
União Frederiquense;rio-grande-do-sul
União Harmonia;rio-grande-do-sul
União Inhumas;goias
União Luziense;minas-gerais
União Mogi;sao-paulo
União Paraense;para
União Rondonópolis;mato-grosso
União Suzano;sao-paulo
União São João;sao-paulo
União de Palmas;tocantins
União de Rondonópolis;mato grosso
União-CE;ceara
União-MS;mato-grosso-do-sul
Uruaçu FC;goias
Urumajó;para
VOCEM;sao-paulo
Valeriodoce;minas-gerais
Varginha;minas-gerais
Vasco;rio-de-janeiro
Vasco da Gama;rio de janeiro
Vasco da Gama-AC;acre
Velo Clube;sao-paulo
Vera Cruz-PE;pernambuco
Verê FC;parana
Viana;maranhao
Vila Nova;goias
Vila Real;ceara
Vila Rica;para
Vilavelhense;espirito-santo
Vilhena;rondonia
Vilhenense;rondonia
Villa Nova;minas gerais
Villa Nova-MG;minas-gerais
Villa Real-MG;minas-gerais
Visão Celeste;rio-grande-do-norte
Vitória;bahia
Vitória da Conquista;bahia
Vitória das Tabocas;pernambuco
Vitória-ES;espirito-santo
Volta Redonda;rio-de-janeiro
Votuporanguense;sao paulo
Vênus-PA;para
XV de Jaú;sao-paulo
XV de Piracicaba;sao-paulo
Ypiranga;amapa
Ypiranga-AP;amapa
Ypiranga-BA;bahia
Ypiranga-PE;pernambuco
Ypiranga-RS;rio-grande-do-sul
Zinza FC;rio-de-janeiro
Zumbi;alagoas
Águia;para
Águia Negra;mato-grosso-do-sul
Águia de Cumaru;pernambuco
Íbis;pernambuco
