clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
CRUZEIRO;RS;Cachoeirinha;-29.95;-51.0833;4303103.0;22;6;10;0.0010502552882214;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SÃO BORJA;RS;São Borja;-28.6578;-56.0036;4318002.0;37;19;20;0.0010470955451529;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
PETROLINA;PE;Petrolina;-9.38866;-40.5027;2611101.0;24;29;30;0.0010445633516399;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
CRAC;GO;Catalão;-18.1658;-47.9461;5205108.0;33;43;38;0.0010439568985117;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
IPORÁ;GO;Iporá;-16.4398;-51.118;5210208.0;33;34;59;0.0010378113285831;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
NOROESTE;SP;Bauru;-22.3246;-49.0871;3506003.0;55;49;40;0.0010324290221075;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
AMÉRICA MINEIRO;MG;Belo Horizonte;-19.9102;-43.9266;3106200.0;69;41;30;0.0010317727240462;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FRANCANA;SP;Franca;-20.5352;-47.4039;3516200.0;31;31;20;0.0010317075135989;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
CSE;AL;Maceió;-9.66599;-35.735;2704302.0;47;41;39;0.0010304472753992;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
RIO BRANCO DE VENDA NOVA;ES;Nova Venécia;-18.715;-40.4053;3203908.0;61;40;39;0.001023962538873;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PACAJUS;CE;Pacajus;-4.17107;-38.465;2309607.0;37;39;41;0.0010230110024269;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
POTIGUAR;RN;Mossoró;-5.18374;-37.3474;2408003.0;112;74;166;0.0010222754690551;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
MARÍLIA;SP;Marília;-22.2171;-49.9501;3529005.0;92;68;72;0.0010210898523138;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CAMETÁ;PA;Cametá;-2.24295;-49.4979;1502103.0;28;13;25;0.00101518798841;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
MONTE AZUL;SP;Monte Azul Paulista;-20.9065;-48.6387;3531506.0;82;92;122;0.0010091657460711;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
COMERCIAL;MS;Três Lagoas;-20.7849;-51.7007;5008305.0;21;26;48;0.0010031451141035;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
MAMORÉ;MG;Patos de Minas;-18.5699;-46.5013;3148004.0;18;39;22;0.0010017627432484;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
AYMORÉS;MG;Patos de Minas;-18.5699;-46.5013;3148004.0;27;35;35;0.0010006035803268;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
VELO CLUBE;SP;Rio Claro;-22.4114;-47.5614;3543907.0;49;41;47;0.0009989864351268;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
OLÍMPICO;SE;Itabaianinha;-11.2693;-37.7875;2803005.0;41;10;15;0.0009974501539239;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
FLAMENGO;SP;Guarulhos;-23.4538;-46.5333;3518800.0;38;24;20;0.0009965319983902;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PAULISTA;SP;Jundiaí;-23.1852;-46.8974;3525904.0;38;24;33;0.0009946936010846;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BOA ESPORTE;MG;Varginha;-21.5556;-45.4364;3170701.0;34;34;52;0.0009922681097325;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CENTRO OESTE;GO;Goiás;-15.9333;-50.14;5208905.0;24;18;10;0.0009912218933058;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
MACAPÁ;AP;Macapá;0.034934;-51.0694;1600303.0;11;7;22;0.0009832272854425;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
PARAGOMINAS;PA;Paragominas;-3.00212;-47.3527;1505502.0;25;22;21;0.000981719219268;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
CA VOTUPORANGUENSE;SP;Guaíra;-20.3196;-48.312;3517406.0;47;42;41;0.0009796599547789;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
PALMAS;TO;Palmas;-10.1844;-48.3336;1721000.0;26;12;36;0.0009773061321395;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
MONSOON;RS;Capão da Canoa;-29.75;-50.0167;4304630.0;27;24;17;0.0009762946073854;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
BRAGANTINO;PA;Bragança;-1.06126;-46.7826;1501709.0;26;25;26;0.0009750938327008;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
BONSUCESSO;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;32;29;29;0.0009735992559449;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CAPIVARIANO;SP;Capivari;-22.9951;-47.5071;3510401.0;62;37;40;0.0009702452079976;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UNIÃO BARBARENSE;SP;Mogi das Cruzes;-23.5208;-46.1854;3530607.0;31;18;22;0.000961885732485;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
VILLA NOVA;MG;Nova Lima;-19.9758;-43.8509;3144805.0;76;58;128;0.0009596848899611;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
AGUIA DE MARABA;PA;Marabá;-5.38075;-49.1327;1504208.0;16;21;19;0.0009547740494924;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
NACIONAL;SP;Limeira;-22.566;-47.397;3526902.0;41;32;42;0.000952902091416;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PENAPOLENSE;SP;Penápolis;-21.4148;-50.0769;3537305.0;31;36;40;0.0009512128114633;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
ITAPIRENSE;SP;Itapira;-22.4357;-46.8224;3522604.0;29;33;34;0.0009480908435746;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
INDEPENDENTE DE LIMEIRA;SP;Limeira;-22.566;-47.397;3526902.0;28;22;37;0.0009461850501996;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
JI-PARANÁ;RO;Ji-Paraná;-10.8777;-61.9322;1100122.0;24;20;25;0.0009454922206245;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
GUARANI V. AIRES;RS;Cruz Alta;-28.645;-53.6048;4306106.0;28;8;5;0.0009443210143459;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
REAL ARIQUEMES;RO;Ariquemes;-9.90571;-63.0325;1100023.0;24;12;25;0.0009408734241119;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
MURICI;AL;Murici;-9.30682;-35.9428;2705507.0;34;32;44;0.0009405685901269;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
TUPYNAMBÁS;MG;Juiz de Fora;-21.7595;-43.3398;3136702.0;30;37;49;0.0009396640959649;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
GOYTACAZ;RJ;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;31;16;28;0.000938336160643;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
DESPORTIVA FERROVIÁRIA;ES;Cariacica;-20.3375;-40.3847;3201308.0;60;42;48;0.0009379777936994;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SÃO RAIMUNDO;PA;Santarém;-2.43849;-54.6996;1506807.0;24;10;10;0.0009339012736443;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
GOIÂNIA;GO;Goiânia;-16.6864;-49.2643;5208707.0;39;27;53;0.0009328059000941;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
SANTOS;AP;Macapá;0.034934;-51.0694;1600303.0;27;18;21;0.0009304977718588;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
CANAÃ;PA;Canaã dos Carajás;-6.495;-49.8731;1502152.0;21;11;18;0.000929512700415;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
MAUÁ;SP;Mauá;-23.6678;-46.4614;3529401.0;35;30;23;0.0009293563828048;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
INHUMAS;GO;Inhumas;-16.3611;-49.5001;5210000.0;28;15;25;0.0009290673953263;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
SANTA CRUZ DE NATAL;RN;Santa Cruz;-6.22475;-36.0193;2411205.0;110;66;162;0.0009262746857082;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
GALVEZ;AC;Rio Branco;-9.974;-67.8076;5107206.0;41;24;32;0.0009194635306202;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
AZURIZ FUTEBOL;PR;Pato Branco;-26.2292;-52.6706;4118501.0;28;25;31;0.0009180726565342;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
JUVENTUS;SP;São Paulo;-23.5329;-46.6395;3550308.0;38;48;49;0.0009163109694907;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
RIO CLARO;SP;Bastos;-21.921;-50.7357;3505807.0;38;52;47;0.0009159463096304;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
ÁGUIA;PA;Marabá;-5.38075;-49.1327;1504208.0;25;23;25;0.0009152469848661;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
GAZIN PORTO VELHO;RO;Porto Velho;-8.76077;-63.8999;1100205.0;29;16;21;0.0009140174166939;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
ITABUNA;BA;Itabuna;-14.7876;-39.2781;2914802.0;33;28;17;0.0009121457719475;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
GOIATUBA;GO;Goiatuba;-18.0105;-49.3658;5209101.0;36;26;30;0.0009116129713722;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
PRIMAVERA;SP;Indaiatuba;-23.0816;-47.2101;3520509.0;48;53;35;0.0009110650196795;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UNI SOUZA;RJ;Rio de Janeiro;-22.8669;-43.3458;3304557.0;33;16;14;0.0009087792582259;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
GONÇALENSE;RJ;Petrópolis;-22.5047;-43.1814;3303906.0;46;26;25;0.0009059183801276;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
AFOGADOS DA INGAZEIRA;PE;Afogados da Ingazeira;-7.74312;-37.631;2600104.0;24;29;22;0.0009043688754645;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
DESPORTIVO BRASIL;SP;Porto Feliz;-23.2093;-47.5251;3540606.0;40;32;38;0.0009040779112083;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
NORTH ESPORTE CLUBE;MG;Montes Claros;-16.7244;-43.8617;3143302.0;27;24;17;0.0009040490837031;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
NACIONAL ATL. MURIAÉ;MG;Muriaé;-21.13;-42.3693;3143906.0;29;43;32;0.0009011519996905;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TRINDADE;GO;Trindade;-16.6517;-49.4927;5221403.0;22;10;16;0.0008963998784595;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
CRUZEIRO;AL;Arapiraca;-9.75164;-36.6604;2700300.0;38;12;33;0.0008932919995802;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
GUARANY;SE;Porto da Folha;-9.91626;-37.2842;2805604.0;33;19;14;0.0008908527449567;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
INDEPENDENTE;AP;Santana;-0.0583;-51.1817;1600600.0;24;13;11;0.0008887168487979;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
TAUBATÉ;SP;Taubaté;-23.0104;-45.5593;3554102.0;38;43;54;0.0008822169149805;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
GURUPI;TO;Gurupi;-11.7279;-49.068;1709500.0;17;16;17;0.0008817724572262;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
VARGINHA;MG;Varginha;-21.5597;-45.4389;3170701.0;26;28;29;0.0008799084474115;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PRINCESA;AM;Manacapuru;-3.29066;-60.6216;1302504.0;21;25;15;0.0008796761370526;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
UNIÃO ATLÉTICO;TO;Araguaína;-7.1925;-48.2078;1702109.0;18;11;6;0.0008782519206037;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
VASCO;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;65;40;46;0.0008754781746909;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FRIBURGUENSE;RJ;Nova Friburgo;-22.2932;-42.5377;3303401.0;30;28;60;0.0008740970737364;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SÃO RAIMUNDO;AM;Manaus;-3.11866;-60.0212;1302603.0;25;21;25;0.0008735278117282;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
ITABIRITO;MG;Itaú de Minas;-20.7375;-46.7525;3133758.0;66;48;70;0.0008718543691424;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
CAMPO GRANDE;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;37;24;33;0.0008718445217791;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SALGUEIRO;PE;Salgueiro;-8.07373;-39.1247;2612208.0;29;23;22;0.0008687070314762;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
UNIÃO SUZANO;SP;Mogi das Cruzes;-23.5208;-46.1854;3530607.0;43;24;36;0.0008675955524547;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UBERABA;MG;Uberaba;-19.7472;-47.9381;3170107.0;23;20;20;0.000867433635614;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
INTER DE BEBEDOURO;SP;Caraguatatuba;-23.6125;-45.4125;3510500.0;31;22;30;0.000865413026452;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SÃO GONÇALO;RJ;São Gonçalo;-22.8268;-43.0634;3304904.0;35;30;36;0.000864469012937;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
REAL SPORT CLUB;RS;Capão da Canoa;-29.7642;-50.0282;4304630.0;12;9;23;0.0008633692205243;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
PORTUGUESA SANTISTA;SP;São Paulo;-23.5329;-46.6395;3550308.0;70;100;96;0.0008614669088692;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
RIO GRANDE;RS;Rio Grande;-32.0349;-52.1071;4315602.0;32;19;41;0.0008599464599986;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
GE BRASIL;RS;Farroupilha;-29.2227;-51.3419;4307906.0;43;63;52;0.0008596096686454;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
ATLÉTICO GLORIENSE;SE;Lagarto;-10.9136;-37.6689;2803500.0;28;18;25;0.0008588667470689;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
AMÉRICA;SE;Propriá;-10.2138;-36.8442;2805703.0;23;20;24;0.0008581852859204;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
SÃO FRANCISCO;PA;Santarém;-2.43849;-54.6996;1506807.0;25;6;25;0.0008571854968286;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
GUANABARA CITY;GO;Goiânia;-16.6864;-49.2643;5208707.0;21;7;19;0.0008546581143926;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
PARANOÁ;DF;Brasília;-15.7744;-47.7817;5300108.0;21;15;20;0.0008544517768636;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ZUMBI;AL;União dos Palmares;-9.15921;-36.0223;2709301.0;35;10;23;0.0008542745006429;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
AMAZÔNIA INDEPENDENTE;PA;Belterra;-2.63609;-54.9374;1501451.0;18;14;13;0.0008521190958968;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
BANDEIRANTE;SP;Birigui;-21.291;-50.3432;3506508.0;34;28;36;0.0008493723965146;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
NACIONAL;PB;Cabedelo;-6.98731;-34.8284;2503209.0;29;19;28;0.0008482692679281;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
LINENSE;SP;Lins;-21.6718;-49.7526;3527108.0;46;35;49;0.0008412389781267;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
JEQUIÉ;BA;Jequié;-13.8583;-40.0825;2918001.0;25;16;23;0.0008333553792217;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
BARCELONA DE ILHÉUS;BA;Ilhéus;-14.7935;-39.0331;2913606.0;20;21;28;0.0008330979517816;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
SKA BRASIL;SP;Porto Feliz;-23.2093;-47.5251;3540606.0;25;16;18;0.0008324551561011;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
HORIZONTE;CE;Fortaleza;-3.71664;-38.5423;2304400.0;28;21;30;0.0008311333807058;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
BARRA DA TIJUCA;RJ;Teresópolis;-22.4165;-42.9752;3305802.0;32;23;12;0.0008306491680204;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BARRETOS;SP;Barretos;-20.5531;-48.5698;3505500.0;30;33;35;0.0008304641604003;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
SÃO CAETANO;SP;São Caetano do Sul;-23.6229;-46.5548;3548807.0;76;72;154;0.0008300480534674;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TIMON;MA;Timon;-5.09769;-42.8329;2112209.0;20;22;26;0.0008274618935496;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
ATLÉTICO;CE;Fortaleza;-3.71664;-38.5423;2304400.0;29;27;38;0.0008267013469712;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
CAETÉ;PA;Cametá;-2.24295;-49.4979;1502103.0;20;9;27;0.0008259542094869;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
RIO DE JANEIRO;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;24;12;22;0.000824036936932;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
GAÚCHO;RS;Passo Fundo;-28.2576;-52.4091;4314100.0;33;15;13;0.0008235755840445;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
CAPITÃO POÇO;PA;Capitão Poço;-1.7456;-47.0575;1502202.0;22;10;12;0.0008224609762774;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
IAPE;MA;São Luís;-2.5307;-44.3068;2111300.0;27;12;19;0.0008212447217927;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
YPIRANGA;AP;Macapá;0.034934;-51.0694;1600303.0;21;12;29;0.0008209494931441;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
NAVIRAIENSE;MS;Naviraí;-23.0618;-54.1995;5005707.0;30;19;15;0.0008188212035836;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
FOZ DO IGUAÇU;PR;União da Vitória;-26.2273;-51.0873;4128203.0;25;20;23;0.0008179357858819;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
COMERCIAL;SP;Ribeirão Preto;-21.1699;-47.8099;3543402.0;36;45;43;0.0008099182408568;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
COIMBRA;MG;Belo Horizonte;-19.9102;-43.9266;3106200.0;24;26;29;0.0008075199391294;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FLUMINENSE DE FEIRA;BA;Feira de Santana;-12.2664;-38.9663;2910800.0;22;19;19;0.000806758697459;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
CARAPEBUS;RJ;Carapebus;-22.1821;-41.663;3300936.0;32;12;36;0.0008058155874604;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
JUVENTUDE;MA;São Mateus do Maranhão;-4.0417;-44.4717;2111102.0;26;22;32;0.0008053704980336;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
NAÇÃO;SC;Joinville;-26.3045;-48.8487;4209102.0;34;42;59;0.000804296115031;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
VITÓRIA DAS TABOCAS;PE;Vitória de Santo Antão;-8.12819;-35.2976;2616407.0;28;15;24;0.0008039410596503;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
MINEIROS;GO;Mineiros;-17.5654;-52.5537;5213103.0;22;8;13;0.0008029061214773;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
GUARANI;MG;Divinópolis;-20.1446;-44.8912;3122306.0;30;15;25;0.0008024109646118;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CORURIPE;AL;Coruripe;-10.1276;-36.1717;2702306.0;40;32;33;0.0008015171445602;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
MADUREIRA;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;98;90;156;0.0008009944054991;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CONCÓRDIA;SC;Concórdia;-27.2335;-52.026;4204301.0;61;54;70;0.000799556561104;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
UNIÃO CACOALENSE;RO;Cacoal;-11.4343;-61.4562;1100049.0;22;16;13;0.0007964694583383;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
ITAPIPOCA;CE;Itapipoca;-3.49933;-39.5836;2306405.0;27;23;19;0.0007954528553013;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
SANTA ROSA;PA;Belém;-1.4554;-48.4898;1501402.0;19;11;23;0.0007953386839618;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
LAGUNA;RN;Tibau do Sul;-6.2344;-35.0911;2414309.0;25;16;10;0.0007906168802449;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
DORENSE;SE;Nossa Senhora das Dores;-10.4854;-37.1963;2804607.0;23;18;31;0.0007888673854254;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
CRATO;CE;Crato;-7.2153;-39.4103;2304202.0;20;21;51;0.0007858286542516;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
MARANGUAPE;CE;Maranguape;-3.89143;-38.6829;2307700.0;24;19;17;0.0007855340837399;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
GAS;RR;Boa Vista;2.8233;-60.675;1400100.0;32;10;10;0.0007854162959338;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
VITÓRIA DA CONQUISTA;BA;Salvador;-12.9718;-38.5011;2927408.0;25;22;28;0.0007772939968871;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
SANTA HELENA;GO;Santa Helena de Goiás;-17.8115;-50.5977;5219308.0;19;12;26;0.0007760989880043;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
COLORADO CAIEIRAS;SP;Caieiras;-23.3639;-46.7411;3509007.0;24;22;23;0.0007748530424922;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CARLOS RENAUX;SC;Brusque;-27.0977;-48.9107;4202909.0;36;32;32;0.0007747271374375;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SERC;MS;Chapadão do Sul;-18.7836;-52.6178;5002951.0;29;12;34;0.0007732532243376;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
ATLÉTICO;PB;Paulista;-6.59138;-37.6185;2510907.0;23;16;19;0.0007730382032024;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
PICOS;PI;Picos;-7.07721;-41.467;2208007.0;19;17;25;0.000772810189042;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
VERA CRUZ;PE;Vitória de Santo Antão;-8.12819;-35.2976;2616407.0;24;19;31;0.0007721704586761;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
