clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
NACIONAL;PR;Curitiba;-25.4195;-49.2646;4106902.0;25;23;48;0.0007706505434476;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
AMÉRICA;GO;Morrinhos;-17.7334;-49.1059;5213806.0;6;11;12;0.0007703026083394;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
SERRA MACAENSE;RJ;Macaé;-22.3768;-41.7848;3302403.0;31;27;29;0.0007672783906404;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FAST CLUBE;AM;Manaus;-3.119;-60.0217;1302603.0;25;20;20;0.0007669001047242;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
GRÊMIO MAUAENSE;SP;Mauá;-23.6677;-46.4613;3529401.0;20;28;26;0.000766424835188;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UNIÃO DE RONDONÓPOLIS;MT;Rondonópolis;-16.4673;-54.6372;5107602.0;24;18;38;0.0007649640818912;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
SÃO PAULO CRYSTAL;PB;Aguiar;-7.0918;-38.1681;2500205.0;19;26;31;0.0007609857889807;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
SÃO PAULO;RS;Rio Grande;-32.0349;-52.1071;4315602.0;20;13;26;0.0007550338454897;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SANTA CATARINA;SC;Rio do Sul;-27.2156;-49.643;4214805.0;35;28;8;0.0007545608331533;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
ANDRAUS;PR;Campo Largo;-25.4578;-49.5297;4104204.0;26;15;23;0.0007541787512421;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
BELA VISTA;GO;Bela Vista de Goiás;-16.9733;-48.9525;5203302.0;10;10;6;0.0007529828031462;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
SERTÃOZINHO;SP;Sertãozinho;-21.1316;-47.9875;3551702.0;31;40;48;0.0007528751656203;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
FREI PAULISTANO;SE;Frei Paulo;-10.5513;-37.5279;2802304.0;28;19;47;0.0007526417832975;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
SANTA CRUZ;RS;Santa Cruz do Sul;-29.722;-52.4343;4316808.0;54;30;36;0.0007517149541979;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
UNIÃO SÃO JOÃO;SP;Araras;-22.3572;-47.3842;3503307.0;26;21;28;0.0007514337948953;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TUPI;MG;Juiz de Fora;-21.7595;-43.3398;3136702.0;23;21;37;0.0007511947639409;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ATLÉTICO CEARENSE;CE;Fortaleza;-3.71664;-38.5423;2304400.0;25;25;37;0.0007468498626808;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
PARAUAPEBAS;PA;Parauapebas;-6.06781;-49.9037;1505536.0;15;7;5;0.0007464583781117;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
AMÉRICA T.O;MG;Belo Horizonte;-19.9102;-43.9266;3106200.0;24;10;12;0.0007448408072896;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ZINZA;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;24;14;12;0.0007439239786469;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PARINTINS;AM;Parintins;-2.6283;-56.7358;1303403.0;20;14;12;0.0007438812728431;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
MACAÉ;RJ;Macaé;-22.3768;-41.7848;3302403.0;32;21;75;0.0007438245386746;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
VALERIODOCE;MG;Itabira;-19.6239;-43.2312;3131703.0;18;20;16;0.0007408601616301;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
JOSEENSE;SP;Jacareí;-23.3053;-45.9658;3524402.0;22;24;25;0.0007378676442509;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PARANAVAÍ;PR;Paranavaí;-23.0816;-52.4617;4118402.0;36;15;17;0.0007355799371845;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
JUVENTUS JARAGUÁ;SC;Jaraguá do Sul;-26.4851;-49.0713;4208906.0;36;41;49;0.0007338021552455;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SÃO CRISTÓVÃO;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;24;13;18;0.0007324436342015;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
OSASCO AUDAX;SP;Osasco;-23.5324;-46.7916;3534401.0;20;37;53;0.0007273656256415;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
RIO BRANCO;PR;Paranaguá;-25.5161;-48.5225;4118204.0;23;19;35;0.0007264126188835;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SÃO JOSEENSE;PR;São José dos Pinhais;-25.5347;-49.2064;4125506.0;22;21;29;0.0007226444412614;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SERRA BRANCA;PB;Cajazeiras;-6.88004;-38.5577;2503704.0;21;14;10;0.0007201370291792;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
IVINHEMA;MS;Ivinhema;-22.3046;-53.8184;5004700.0;28;11;25;0.0007188980534264;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
PATRIOTAS;PR;Curitiba;-25.4195;-49.2646;4106902.0;29;15;17;0.0007185589300148;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
ELITE CD;RS;Rio Grande;-32.0349;-52.1071;4315602.0;21;12;29;0.0007178925922447;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
JABAQUARA;SP;Santos;-23.9535;-46.335;3548500.0;25;13;33;0.0007168161116648;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
TAGUATINGA;DF;Taguatinga;-15.8333;-48.0569;5300108.0;19;13;17;0.0007163895508913;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
BATALHÃO;TO;Palmas;-10.1844;-48.3336;1721000.0;14;7;15;0.0007113431964959;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
PORTO VELHO ESPORTE CLUBE;RO;Porto Velho;-8.76077;-63.8999;1100205.0;21;11;7;0.0007109857350243;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
RIOGRANDENSE;RS;Santa Maria;-29.6868;-53.8149;4316907.0;24;18;26;0.0007105069076944;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
ABECAT OUVIDORENSE;GO;Ouvidor;-18.2277;-47.8355;5215504.0;20;10;11;0.0007091101347725;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
CAMPOS;RJ;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;15;24;24;0.0007082069546949;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ASEEV;GO;Guapó;-16.8317;-49.5317;5209101.0;24;7;34;0.0007069729300543;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
TUNTUM;MA;Tuntum;-5.25476;-44.6444;2112308.0;19;22;17;0.0007019558762204;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
LUZIÂNIA;GO;Luziânia;-16.253;-47.95;5212501.0;16;13;29;0.0007003281191869;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ESTRELA DO NORTE;ES;Cachoeiro de Itapemirim;-20.8462;-41.1198;3201209.0;29;21;56;0.0007002885534095;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CA PATROCINENSE;MG;Patrocínio;-18.9379;-46.9934;3148103.0;28;29;61;0.00069730210258;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ARAGUAÍNA;TO;Araguaína;-7.19238;-48.2044;1702109.0;14;8;8;0.0006970157299896;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
IZABELENSE;PA;Santa Izabel do Pará;-1.29686;-48.1606;1506500.0;11;10;11;0.0006951491654978;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
TOCANTINS MIRACEMA;TO;Miracema do Tocantins;-9.56556;-48.393;1713205.0;14;8;28;0.0006941332739686;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
SAMAMBAIA;DF;Brasília;-15.8778;-48.0833;5300108.0;20;8;19;0.0006939512847878;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
JATAIENSE;GO;Jataí;-17.8784;-51.7204;5211909.0;21;13;31;0.0006933080478917;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
PINHEIRENSE;PA;Belém;-1.4554;-48.4898;1501402.0;15;11;13;0.0006907670462825;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
ORATÓRIO;AP;Macapá;-0.0383;-51.0632;1600303.0;16;9;15;0.0006904295111872;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
MATONENSE;SP;Matão;-21.6025;-48.364;3529302.0;23;19;51;0.0006900404249786;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ÍBIS;PE;Paulista;-7.9408;-34.8722;2610707.0;21;20;28;0.0006898055344646;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
PORTO;PE;Caruaru;-8.28455;-35.9699;2604106.0;13;21;18;0.0006885743942102;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
ATLÉTICO;AC;Rio Branco;-9.974;-67.8076;5107206.0;25;17;36;0.0006864707630608;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
RIO PRETO;SP;São José do Rio Preto;-20.8113;-49.3758;3549805.0;25;28;44;0.0006833817310022;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
INTER DE LAGES;SC;Lages;-27.815;-50.3259;4209300.0;24;29;39;0.0006833322288177;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
TANABI;SP;Tanabi;-20.6228;-49.6563;3553401.0;27;12;21;0.000682328539409;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
BÚZIOS;RJ;Armação dos Búzios;-22.7481;-41.8817;3300233.0;21;9;22;0.0006763033337701;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
DOM BOSCO;MT;Cuiabá;-15.601;-56.0974;5103403.0;32;24;62;0.0006755234126348;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
COLO COLO;BA;Ilhéus;-14.793;-39.046;2913606.0;14;14;15;0.0006752916714533;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
PELOTAS;RS;Pelotas;-31.7653;-52.3375;4314407.0;68;80;98;0.0006752057057679;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
INDEPENDENTE TUCURUÍ;PA;Belterra;-2.63609;-54.9374;1501451.0;15;18;20;0.0006735290928418;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
ESTANCIANO;SE;Estância;-11.2659;-37.4484;2802106.0;30;12;30;0.0006678059101962;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
PINHEIRO;MA;Pinheiro;-2.52224;-45.0788;2108603.0;20;20;24;0.0006632437602576;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
BARBALHA;CE;Barbalha;-7.2982;-39.3021;2301901.0;22;15;34;0.0006612840120886;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
CONFIANÇA;PB;Sapé;-7.09359;-35.228;2515302.0;24;8;18;0.0006610733527383;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
CORDINO;MA;Barra do Corda;-5.49682;-45.2485;2101608.0;15;20;33;0.0006608631668636;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
IGUAÇU;PR;União da Vitória;-26.2273;-51.0873;4128203.0;21;16;18;0.000659257802388;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
ABD;GO;Goiás;-15.9333;-50.14;5208905.0;14;5;6;0.000659146614712;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ARRAIAL DO CABO;RJ;Araruama;-22.8697;-42.3326;3300209.0;23;21;7;0.0006563965289158;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
FUTEBOL COM VIDA;RS;Viamão;-30.0819;-51.0194;4323002.0;14;2;8;0.0006556793256148;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
INDEPENDÊNCIA;AC;Rio Branco;-9.974;-67.8076;5107206.0;22;13;15;0.0006537765138666;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
NOVA CIDADE;RJ;Nilópolis;-22.8057;-43.4233;3303203.0;17;23;36;0.0006515066168914;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
VILAVELHENSE;ES;Vila Velha;-20.3417;-40.2875;3205200.0;38;25;67;0.0006500190260773;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
ATLÉTICO TUBARÃO;SC;Tubarão;-28.4713;-49.0144;4218707.0;23;22;48;0.0006494567783291;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
BARAÚNAS;RN;Mossoró;-5.18374;-37.3474;2408003.0;25;11;33;0.0006480460452694;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
CEILANDENSE;SE;Nossa Senhora das Dores;-10.4854;-37.1963;2804607.0;15;11;25;0.0006468937849944;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
CARAVAGGIO;SC;Nova Veneza;-28.6364;-49.4978;4211603.0;24;20;26;0.0006442875346306;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
AMÉRICA;SP;São José do Rio Preto;-20.8113;-49.3758;3549805.0;14;20;31;0.000642451827705;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
LARANJA MECÂNICA;PR;Arapongas;-23.4144;-51.4233;4101507.0;20;15;15;0.000642299125389;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
ATLÉTICO PARAENSE;PA;Marituba;-1.36002;-48.3421;1504422.0;18;7;9;0.0006416082364099;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
IMPÉRIO SERRANO;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;20;7;3;0.0006414915558089;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
CORUMBAENSE;MS;Corumbá;-19.0077;-57.651;5003207.0;14;18;25;0.0006401706220119;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CARIRI;CE;Juazeiro do Norte;-7.2372;-39.4121;2307301.0;19;14;21;0.0006400203179933;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
PARATY;RJ;Paraíba do Sul;-22.1585;-43.304;3303708.0;26;11;21;0.0006394679044753;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PENAROL;AM;Itacoatiara;-3.13861;-58.4449;1301902.0;17;13;19;0.0006393438377027;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
7 DE ABRIL;RJ;São João de Meriti;-22.8058;-43.3729;3305109.0;23;18;43;0.0006390295761774;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
NITEROIENSE;RJ;Niterói;-22.8832;-43.1034;3303302.0;21;11;8;0.0006375783994635;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
RIO VERDE;GO;Rio Verde;-17.7923;-50.9192;5218805.0;12;10;9;0.0006371088641518;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
AZURIZ;PR;Pato Branco;-26.2292;-52.6706;4118501.0;20;15;21;0.0006348675627159;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
MANTHIQUEIRA;SP;Guaratinguetá;-22.8075;-45.1938;3518404.0;30;11;38;0.0006329349327377;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
COXIM;MS;Coxim;-18.5013;-54.751;5003306.0;18;12;39;0.0006317816055741;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
MAGUARY;PE;Bonito;-8.4719;-35.7272;2602308.0;15;17;12;0.000629276287433;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
TUPY;GO;Jussara;-15.8653;-50.8678;5212204.0;14;11;9;0.0006287729677108;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ESMAC;PA;Ananindeua;-1.3653;-48.3725;1500800.0;9;10;12;0.0006281604775764;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
ARAXÁ;MG;Araxá;-19.5902;-46.9438;3104007.0;13;10;6;0.0006272904049443;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
PSTC;PR;Cornélio Procópio;-23.1811;-50.6467;4106407.0;18;16;32;0.000624572180691;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
OEIRENSE;PI;Oeiras;-7.0253;-42.1311;2207008.0;23;16;16;0.0006236671362232;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
ARAÇATUBA;SP;Araçatuba;-21.2076;-50.4401;3502804.0;22;8;18;0.0006235725276698;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
BAGÉ;RS;Bagé;-31.3297;-54.0999;4301602.0;22;13;16;0.0006219717972698;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
GUARANY DE SOBRAL;CE;Fortaleza;-3.71664;-38.5423;2304400.0;20;20;23;0.0006216594562719;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
ANGRA DOS REIS;RJ;Angra dos Reis;-23.0011;-44.3196;3300100.0;20;11;45;0.0006210692639238;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
GUAPORÉ;RO;Rolim de Moura;-11.7271;-61.7714;1100288.0;18;10;13;0.0006198673148599;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
GRAPIÚNA;BA;Itabuna;-14.7876;-39.2781;2914802.0;14;13;21;0.0006190882626858;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
AUTO ESPORTE;PB;João Pessoa;-7.11509;-34.8641;2507507.0;17;13;17;0.0006149078587197;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
GUARANI DE JUAZEIRO;CE;Cruz;-2.91813;-40.176;2304251.0;20;16;25;0.0006134855867168;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
CAPIXABA;ES;Nova Venécia;-18.715;-40.4053;3203908.0;44;33;45;0.0006133516006735;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UNIÃO PARAENSE;PA;Marituba;-1.36002;-48.3421;1504422.0;9;12;15;0.0006118995694361;0;0;3;3;3;1;0;1.0;0.0;3.0;;;;;;
OPERÁRIO;AM;Manacapuru;-3.29066;-60.6216;1302504.0;14;14;20;0.0006113417544721;0;0;1;1;0;3;7;0.0;1.0;1.0;;;;;;
ITZ SPORT;MA;Imperatriz;-5.5264;-47.4819;2105304.0;9;10;14;0.0006110757609173;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
GUARANI;SC;Palhoça;-27.6455;-48.6697;4211900.0;21;23;28;0.0006090951796982;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SÃO FRANCISCO;AC;Rio Branco;-9.974;-67.8076;5107206.0;24;11;40;0.0006070298559778;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
BARCELONA;RO;Porto Velho;-8.7619;-63.9039;1100205.0;15;12;19;0.0006064821333107;0;0;1;1;0;6;6;0.0;2.0;2.0;;;;;;
CAPITAL;DF;Brasília;-15.8222;-47.9781;5300108.0;8;8;9;0.0006061602868951;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
GUARANY;AL;Maceió;-9.66599;-35.735;2704302.0;15;7;6;0.0006057845795382;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
CSP;PB;João Pessoa;-7.115;-34.8631;2507507.0;20;7;19;0.0006036474537863;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
APAFUT;RS;Caxias do Sul;-29.1678;-51.1794;4305108.0;8;12;14;0.0006029338692168;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
METROPOLITANO;SC;Blumenau;-26.9155;-49.0709;4202404.0;20;18;35;0.0006005111455505;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
TOLEDO;PR;Toledo;-24.7122;-53.7431;4127700.0;18;18;52;0.0005988342219713;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
MOSSORÓ;RN;Mossoró;-5.18374;-37.3474;2408003.0;18;5;13;0.0005986928394865;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
OPERÁRIO;MT;Várzea Grande;-15.65;-56.1325;5108402.0;38;24;66;0.0005973274560544;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
MORRINHOS;GO;Goiás;-15.9333;-50.14;5208905.0;13;17;28;0.0005954705143163;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
UNIÃO LUZIENSE;MG;Santa Luzia;-19.7697;-43.8514;3157807.0;14;15;26;0.0005950255598116;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BOA;MG;Varginha;-21.5556;-45.4364;3170701.0;13;33;17;0.0005941302726054;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
MARACAJU;MS;Maracaju;-21.6105;-55.1678;5005400.0;6;11;6;0.0005936615798265;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
QFC;RN;Parnamirim;-5.9158;-35.2628;2403251.0;12;4;1;0.000590853512992;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
DECISÃO;PE;Bonito;-8.47163;-35.7292;2602308.0;20;13;19;0.0005904347087947;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
POTYGUAR SERIDOENSE;RN;Currais Novos;-6.25484;-36.5146;2403103.0;23;17;35;0.0005894717247982;0;2;2;2;2;2;2;;;;;;;0.0;2.0;2.0
AE PARACATU;MG;Paracatu;-17.2222;-46.8744;3147006.0;12;14;10;0.0005885814201504;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
ESPORTIVO;RS;Montenegro;-29.6824;-51.4679;4312401.0;54;70;94;0.0005873486205699;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
ARAGUACEMA;TO;Araguaína;-7.19238;-48.2044;1702109.0;12;9;15;0.000587084468811;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
BATAGUASSU;MS;Bataguassu;-21.7144;-52.4228;5001904.0;7;2;1;0.0005753200954685;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CR AQUIDAUANA;MS;Aquidauana;-20.4714;-55.7872;5001102.0;7;2;1;0.0005753200954685;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
SPORT SINOP;MT;Sinop;-11.8604;-55.5091;5107909.0;23;17;36;0.0005748777711927;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CORISABBÁ;PI;Floriano;-6.77182;-43.0241;2203909.0;13;18;23;0.0005739041825494;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
JUVENTUS;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;17;10;18;0.0005730088216906;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
POCONÉ;MT;Chapada dos Guimarães;-15.4608;-55.7497;5103007.0;11;14;25;0.0005719411524295;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
INDEPENDENTE;SE;Simão Dias;-10.7417;-37.8108;2807105.0;16;19;24;0.0005713255798204;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
MARUINENSE;SE;Maruim;-10.7308;-37.0856;2804003.0;21;7;29;0.0005697415808302;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
ATLÉTICO CENTRAL;SE;Barra dos Coqueiros;-10.91;-37.0317;2800605.0;24;9;28;0.0005683074985289;0;2;2;2;2;2;2;;;;;;;1.0;0.0;3.0
GUARAÍ;TO;Guaraí;-8.83543;-48.5114;1709302.0;13;7;6;0.0005666121351829;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
SOBRADINHO;DF;Sobradinho;-15.6517;-47.7853;5300108.0;16;9;23;0.0005655339960926;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
PASSO FUNDO;RS;Passo Fundo;-28.2576;-52.4091;4314100.0;30;10;20;0.0005649204502966;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
APARECIDA;GO;Aparecida de Goiânia;-16.8198;-49.2469;5201405.0;14;12;31;0.00056452237212;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
